y,x,bar,pub,ice_cream,charging_station,cinema,theatre,supermarket,church,mosque,synagogue,hotel,museum
36.0,10.0,100,12,18,1,14,16,0,2,55,0,396,27
36.0,11.0,6,0,4,0,1,0,0,11,0,0,28,2
36.0,12.0,0,0,0,0,0,0,0,2,0,0,1,1
36.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,14.0,89,16,22,11,10,22,1,197,0,0,138,31
36.0,15.0,14,2,8,17,1,5,0,62,0,0,44,3
36.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,21.0,21,0,1,7,0,1,0,25,0,0,37,2
36.0,22.0,32,5,1,7,0,11,0,115,0,0,111,7
36.0,23.0,9,0,0,2,0,1,0,49,0,0,14,3
36.0,24.0,21,1,4,0,0,2,0,44,0,0,134,8
36.0,25.0,66,5,8,2,1,2,1,75,0,0,321,22
36.0,26.0,14,2,2,2,0,1,0,8,0,0,91,5
36.0,27.0,116,11,3,2,3,17,1,65,5,0,428,21
36.0,28.0,225,34,9,7,3,12,2,66,90,0,834,17
36.0,29.0,58,5,8,0,1,9,0,18,211,0,248,7
36.0,30.0,109,27,22,8,11,48,1,1,434,0,785,15
36.0,31.0,190,11,10,4,3,85,0,0,228,0,828,11
36.0,32.0,17,3,1,0,0,2,2,0,200,0,175,3
36.0,33.0,2,0,0,1,1,2,0,1,114,0,20,1
37.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
37.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
37.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
37.0,-9.0,324,63,27,225,11,9,2,100,0,0,378,40
37.0,-8.0,160,85,33,88,9,17,6,91,0,0,139,47
37.0,-7.0,410,171,16,24,14,50,1,65,0,0,113,48
37.0,-6.0,674,161,42,5,10,51,3,147,0,0,216,67
37.0,-5.0,320,104,29,4,14,39,3,58,1,1,147,86
37.0,-4.0,385,428,35,14,9,63,3,129,1,0,244,78
37.0,-3.0,79,50,1,3,1,13,0,58,1,0,72,23
37.0,-2.0,174,75,15,16,17,25,4,57,0,0,95,57
